robot_model,movement,cartesian_path,reference_frame,is_relative,velocity,acceleration,desired_x,desired_y,desired_z,desired_roll,desired_pitch,desired_yaw,measured_x,measured_y,measured_z,measured_roll,measured_pitch,measured_yaw
vs060,move_approach,True,WORLD,False,100,100,0.4533,-0.1775,0.1542,3.141592653589793,0.0,-1.5707963267948963,0.45336854387703507,-0.1774947209033746,0.15418332703376864,3.14132678368025,2.668175597445776e-05,-1.5708345241198383
vs060,move_to_pose,True,TOOL,True,100,100,0.4533379689550264,-0.17749165133365954,0.039183331139194824,3.1413267836802494,2.668175597627079e-05,-1.5708345241198345,0.45332411929421346,-0.1774862528277713,0.03918068519024759,3.1413537348789706,1.6114828799430824e-05,-1.5708345139239257
vs060,move_to_pose,True,TOOL,True,100,100,0.453351594874908,-0.17748810708224555,0.1541806818930912,3.1413537348789706,1.6114828799430743e-05,-1.570834513923927,0.4532330213881491,-0.17744167817776707,0.154170062355034,-3.141554689346008,-9.223024945092711e-05,-1.570834511314325
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.31,3.141592653589793,0,-1.5707963267948966,0.2581621417715528,0.135889574304367,0.310002904454509,-3.1415320925501407,0.00023601403067860014,-1.5707151793101057
vs060,move_to_pose,True,WORLD,True,100,100,0.2581621417715523,0.135889574304367,0.010002904454509187,-3.141532092550142,0.00023601403067885778,-1.5707151793101057,0.2582358154821156,0.1359301808785025,0.010234812771131335,3.1412287201965565,-3.6225752782317712e-06,-1.570716874721827
vs060,move_to_pose,True,WORLD,True,100,100,0.25823591819967423,0.13593023610512642,0.31023470021187,3.1412287815289974,-3.5881298937725045e-06,-1.5707168746331068,0.2581917130149624,0.1359069626525648,0.31019200626247306,3.1413831490106903,7.764318061655065e-05,-1.5707168553686726
vs060,move_joints,,,False,100,100,,,,,,,0.3004090269089062,4.042010310237723e-05,0.3902383159514334,3.14151118962995,0.0015509275760427835,-3.1415641323560237
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.305,3.141592653589793,0,-1.5707963267948966,0.2581044811877605,0.13607547372448014,0.3050327013403933,-3.141486937880861,-4.9609085206033566e-05,-1.570837847356747
vs060,move_to_pose,True,WORLD,True,100,100,0.2581045056029699,0.1360754817011093,0.005032778333558752,-3.141487003735826,-4.966186376446578e-05,-1.5708378473652296,0.25826109206522946,0.13615707565841784,0.005275007830157413,3.141521367128724,-0.00013367775000399103,-1.5708369275523277
vs060,move_to_pose,True,WORLD,True,100,100,0.2582611963388733,0.13615713173625302,0.3052748912611507,3.1415214283914663,-0.00013364337266591228,-1.5708369274776834,0.25810055765264445,0.13607244420766168,0.30511433576565905,-3.1412642313076695,7.707325754438304e-05,-1.5708369257284622
vs060,move_approach,True,WORLD,False,100,100,0.5183,0.13120000000000004,0.198,-3.141592653589793,0.0,-3.141592653589793,0.518030864650953,0.1311318483523647,0.19788925716206976,3.1415558294267076,0.0001451827055919051,-3.141592620743553
vs060,move_to_pose,True,TOOL,True,100,100,0.5180474486553959,0.13113604293032885,0.08288946777723384,3.1415558777500374,0.00014512897900819917,-3.1415926207702656,0.5182094407833235,0.13117704434201177,0.08291039850348428,3.141574491402571,7.16577933351364e-05,-3.141592618771444
vs060,move_to_pose,True,TOOL,True,100,100,0.5182012001371711,0.13117495569019408,0.19791039818926476,3.14157449140257,7.165779333514533e-05,-3.1415926187714454,0.5181274814841438,0.13115629642669563,0.19788648114821641,3.1415604091931097,0.00012723522321624517,-3.1415926201739155
vs060,move_approach,True,WORLD,False,100,100,0.4371,0.13200000000000003,0.198,-3.141592653589793,0.0,-3.141592653589793,0.43741733149028816,0.1319280428137335,0.19803448111626032,-3.1414839077690506,-0.0008183710051302978,3.140771767751512
vs060,move_to_pose,True,TOOL,True,100,100,0.4373232086016602,0.13191561430432264,0.08303452030577142,-3.1414839077690497,-0.0008183710051321246,3.140771767751512,0.4374016392992424,0.13193927110269354,0.08302887625744362,-3.141433850155366,-0.000983734046282553,3.1407717354615023
